Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,1.6,1.4,1.7,1.5,1.5,1.5,1.4,1.4,1.7,1.3,1.6,1.9,1.8,2,1.9,1.7,2.3,1.9,1.9,2,1.9,2.1,2,1.8,2,2,1.9,2.1,2,1.8,2.1,1.9,1.7,1.9,1.8,1.6,1.7,1.7,1.6,1.5,1.6,1.6,1.4,1.3,0.8,NA,1.2,1,1.2,1.2,1.1,1.1,1.3,1,1,NA
Austria,1.2,1.1,1,0.9,1,1,1,1,0.9,1.1,1.5,1.4,1.3,1.4,1.6,1.7,1.3,1.3,1.5,1.3,1.2,1.3,1.6,1.7,1.9,1.4,1.3,1.3,1.2,1.1,1.6,1.2,1.5,1.3,1.2,1,1.2,0.9,1.1,0.8,0.9,1,0.9,0.6,0.7,0.8,0.8,0.6,0.6,0.7,0.5,0.5,0.4,0.4,0.4,NA
Belgium,0.7,0.8,0.6,0.7,0.6,0.7,0.7,0.8,0.9,0.9,1.2,1.1,1.3,1.2,1.1,0.9,1,0.9,1.1,1.6,1.5,1.5,1.5,1.9,1.7,2,2.1,1.6,1.6,1.3,1.4,1.4,1.7,2,1.8,1.6,2,1.7,2,2.5,1.7,1.9,1.9,1.4,1.7,1.5,1.4,1.5,1.2,1.2,1.1,1.3,1.1,1,1,NA
Canada,1.6,1.4,1.6,1.5,1.5,1.5,1.4,1.7,1.8,2,2.2,2.3,2.5,2.7,2.6,2.8,2.6,2.7,2.5,2.4,2.2,2.3,2.4,2.4,2.3,2,2,2.2,1.8,2.1,2,2.2,2,1.7,1.7,1.6,1.7,1.4,1.5,1.5,1.5,1.5,1.5,1.4,1.6,1.7,1.5,1.5,1.7,1.7,1.5,1.5,1.4,NA,NA,NA
Chile,6.3,7.2,2.2,2.2,2.9,2.6,9.2,2.2,8.9,6.4,4.6,5.1,5.9,6.6,3,2.8,2.1,2.8,3.1,3.1,3.1,3.7,3.9,NA,3.8,3.8,3.5,3.2,3.4,3.1,3.5,3.8,3.4,2.8,3.2,3.5,3.2,2.7,2.9,3.1,5.2,5.4,5.3,5.2,5.4,5.8,5.5,4.5,4.2,5.2,4.4,4.4,3.8,3.7,4.5,NA
Czech Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.1,0.8,1,2,1.9,2,2.2,2.3,1.8,1.7,1.6,1.6,1.4,1.5,1.3,1.3,1.3,1.2,0.9,1,1,0.7,0.8,0.8,0.8,0.8,0.9,0.7,0.8
Denmark,0.4,0.4,0.5,0.9,0.4,0.6,0.5,0.5,0.6,0.6,0.7,1,0.6,0.9,0.7,0.6,0.7,0.7,0.5,1,1.3,1.3,1,1.1,1,1.5,1.2,1,1.1,1.2,1,1.4,1.3,1.2,1.3,1.2,1.1,1.2,0.9,1.1,1.2,0.9,0.9,1.1,0.7,1,0.7,0.8,0.8,0.8,0.8,0.8,0.3,0.4,0.7,NA
Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,8.4,NA,NA,6.7,6.2,5.7,6.2,8.1,11.6,11.6,20.1,27.1,30.2,23.4,21.6,17.6,19.9,17.2,14.4,15.3,11.7,11,8,9.1,7.3,6.9,6.5,5.9,4.5,4.7,4.8,3.9,3.1,NA
Finland,3.1,2.7,2.7,2.5,2.2,2,2.4,2.4,2.2,2.8,2.2,2.9,3.4,2.8,2.7,3.7,3.4,2.9,3.2,2.7,3.3,2.8,2.9,3.2,2.8,2.7,3.2,2.7,2.8,3.1,3.2,3,3.4,3.2,3.2,2.9,3.3,2.7,2.4,2.7,2.6,2.9,2.5,1.8,2.4,1.9,2,2.2,2.2,1.9,1.9,1.8,1.4,1.5,1.4,NA
France,1.8,2.5,1.7,0.8,0.9,0.8,0.7,1,0.8,0.9,0.8,0.8,0.9,0.9,1,1.1,1,1,1,1.1,1.1,1.1,1.2,1.3,1.4,1.3,1.2,1.1,1,1.2,1.1,1.1,1,1.1,1.1,1.1,1,0.9,0.7,0.7,0.9,0.8,0.8,0.7,0.8,0.7,0.7,0.6,0.7,0.8,0.6,0.6,0.6,0.6,NA,NA
Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,1.2,1.2,1.2,1.1,1.1,0.9,0.9,0.9,0.7,0.7,0.7,0.7,0.6,0.5,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.4,NA
